name,year,citation,snippet,is_real,source,url
"Ajit Mohan vs Legislative Assembly, National ...",2021,(2021) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/23436105/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Tejaswini Gaud vs Shekhar Jagdish Prasad Tewari,2019,(2019) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/184268381/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Union Of India vs Nihar Kanta Sen & Ors,1987,(1987) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/919234/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
R.P. Kapur vs Pratap Singh Kairon And Others,1961,(1961) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1477774/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. Food Corporation of India,2017,(2017) 14 SCC 801,"Petition challenging mandatory COVID-19 vaccination policy, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Society For Un-Aided P.School Of Raj vs U.O.I & Anr,2012,(2012) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/154958944/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Migrant Labour Protection Forum v. State of Uttar Pradesh,2004,(2004) 11 SCC 462,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Anokhilal vs The State Of Madhya Pradesh,2019,(2019) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/110783225/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. State of Kerala,2021,(2021) 3 SCC 920,"Petition challenging pension rights for contract government employees, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rural Development Society v. Ministry of Finance,2014,(2014) 9 SCC 254,"Petition challenging mandatory COVID-19 vaccination policy, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Secretary Irrigation Department ... vs G.C. Roy,1991,(1991) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/654172/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Raj Pal Singh vs Commissioner Of Income Tax Haryana,2020,(2020) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/99337348/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
Digital Rights Foundation v. Reserve Bank of India,1990,(1990) 1 SCC 240,"Petition challenging right to internet access under Article 21, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rural Development Society v. State of Karnataka,2014,(2014) 1 SCC 200,"Petition challenging mandatory COVID-19 vaccination policy, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
State Of Punjab vs Davinder Pal Singh Bhullar & Ors.Etc,2011,(2011) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/138575974/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. State of Tamil Nadu,1997,(1997) 16 SCC 914,"Petition challenging uniform civil code implementation in Goa, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Healthcare Workers Union v. State of West Bengal,2015,(2015) 13 SCC 735,"Petition challenging overnight bail restrictions for journalists, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Indian Civil Liberties Union v. Securities and Exchange Board of India,1995,(1995) 5 SCC 815,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Har Shankar & Ors. Etc. Etc vs The Dy. Excise & Taxation Commr. & Ors,1975,(1975) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1159364/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. Ministry of Environment,1994,(1994) 3 SCC 712,"Petition challenging farm loan waiver scheme constitutionality, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Small Traders Federation of India v. Ministry of Environment,2011,(2011) 11 SCC 421,"Petition challenging digital surveillance by intelligence agencies, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
National Human Rights Commission (Petitioner) v. Ministry of Finance,1991,(1991) 12 SCC 266,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rural Development Society v. Central Vigilance Commission,1995,(1995) 2 SCC 637,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rama Meru And Another vs State Of Gujarat,1992,(1992) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1814850/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Urban Residents Welfare Board v. Securities and Exchange Board of India,2014,(2014) 8 SCC 136,"Petition challenging digital surveillance by intelligence agencies, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Migrant Labour Protection Forum v. Union of India,1990,(1990) 14 SCC 397,"Petition challenging right to protest in public spaces, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
All India Women's Rights Council v. Securities and Exchange Board of India,1997,(1997) 8 SCC 673,"Petition challenging overnight bail restrictions for journalists, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Kishore Samrite vs State Of U.P. & Ors,2012,(2012) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/172073149/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Popular Muthiah vs State Represented By Inspector Of ...,2006,(2006) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1241751/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Rohith Thammana Gowda vs The State Of Karnataka,2022,(2022) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/174872729/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Consumer Rights Federation v. Ministry of Home Affairs,1992,(1992) 8 SCC 960,"Petition challenging electoral bond scheme transparency, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Ex-Capt. Harish Uppal vs Union Of India & Anr,2002,(2002) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1292543/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Danial Latifi & Anr vs Union Of India,2001,(2001) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/410660/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Citizens Forum for Transparency v. State of Maharashtra,2024,(2024) 15 SCC 106,"Petition challenging right to protest in public spaces, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"Kishan Chand Arora vs Commissioner Of Police, Calcutta",1960,(1960) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/621247/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. State of Karnataka,2022,(2022) 11 SCC 405,"Petition challenging pension rights for contract government employees, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Internet Freedom Foundation v. State of Karnataka,1995,(1995) 13 SCC 680,"Petition challenging anti-defection law interpretation, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Tech Freedom Initiative v. Election Commission of India,2021,(2021) 15 SCC 413,"Petition challenging hate speech regulation on social media, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
"K.P. Varghese vs The Income Tax Officer,Ernakulam, And ...",1981,(1981) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/399708/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
Dhal Singh Dewangan vs State Of Chhattisgarh,2016,(2016) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/162446303/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Abp Pvt.Ltd.& Anr vs Union Of India & Ors,2014,(2014) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/55355160/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
State Of Haryana And Ors. Etc. Etc vs Piara Singh And Ors. Etc. Etc,1992,(1992) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/499423/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. Election Commission of India,1991,(1991) 1 SCC 648,"Petition challenging uniform civil code implementation in Goa, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
All India Women's Rights Council v. National Highway Authority,2004,(2004) 11 SCC 235,"Petition challenging hate speech regulation on social media, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rajeswari Chandrasekar Ganesh vs The State Of Tamil Nadu,2022,(2022) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/64568495/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Migrant Labour Protection Forum v. State of Kerala,1994,(1994) 9 SCC 118,"Petition challenging sedition charges against students, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rampal Pithwa Rahidas vs State Of Maharashtra,1994,(1994) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/55558/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Tech Freedom Initiative v. State of Karnataka,2007,(2007) 7 SCC 918,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Citizens Forum for Transparency v. Reserve Bank of India,2013,(2013) 16 SCC 624,"Petition challenging mandatory Aadhaar linkage for pension disbursement, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
National Human Rights Commission (Petitioner) v. Union of India,2017,(2017) 16 SCC 782,"Petition challenging cryptocurrency regulation by RBI, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Rajiv Singh vs The State Of Bihar And Anr,2015,(2015) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/135240057/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
Kirit Kumar Chaman Lal Kundaliya vs Union Of India (Uoi) And Ors.,1981,(1981) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1915707/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
State Of Uttar Pradesh vs Abdul Samad & Another,1962,(1962) Supreme Court of India,Supreme Court judgment. Query category: writ petition habeas corpus.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1465122/?formInput=writ%20petition%20habeas%20corpus%20%20doctypes%3A%20supremecourt
All India Women's Rights Council v. Securities and Exchange Board of India,1990,(1990) 7 SCC 578,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Parshotam Lal Dhingra vs Union Of India,1957,(1957) Supreme Court of India,Supreme Court judgment. Query category: service law government employment.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1270113/?formInput=service%20law%20government%20employment%20%20doctypes%3A%20supremecourt
Vinayak Etc vs State Of Maharashtra,1984,(1984) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1274471/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
Ranjan Dwivedi vs C.B.I Tr.Director General,2012,(2012) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/27469025/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Digital Rights Foundation v. Central Vigilance Commission,2020,(2020) 12 SCC 95,"Petition challenging right to protest in public spaces, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Small Traders Federation of India v. Ministry of Finance,1990,(1990) 12 SCC 746,"Petition challenging sedition charges against students, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Vikram Singh @ Vicky & Anr vs Union Of India & Ors,2013,(2013) Supreme Court of India,Supreme Court judgment. Query category: constitutional validity fundamental rights.,True,indiankanoon.org,https://indiankanoon.org/docfragment/171486289/?formInput=constitutional%20validity%20fundamental%20rights%20%20doctypes%3A%20supremecourt
State Of Maharashtra vs Chandrabhan Tale,1983,(1983) Supreme Court of India,Supreme Court judgment. Query category: criminal appeal conviction sentence.,True,indiankanoon.org,https://indiankanoon.org/docfragment/632769/?formInput=criminal%20appeal%20conviction%20sentence%20%20doctypes%3A%20supremecourt
National Parents Association v. Reserve Bank of India,2017,(2017) 11 SCC 557,"Petition challenging electoral bond scheme transparency, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Delhi Development Authority vs Godfrey Phillips (I) Ltd.,2022,(2022) Supreme Court of India,Supreme Court judgment. Query category: property dispute land acquisition.,True,indiankanoon.org,https://indiankanoon.org/docfragment/88855536/?formInput=property%20dispute%20land%20acquisition%20%20doctypes%3A%20supremecourt
National Human Rights Commission (Petitioner) v. State of Uttar Pradesh,2020,(2020) 6 SCC 677,"Petition challenging sedition charges against students, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Healthcare Workers Union v. Union of India,2010,(2010) 6 SCC 527,"Petition challenging pension rights for contract government employees, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
National Human Rights Commission (Petitioner) v. Election Commission of India,2012,(2012) 13 SCC 726,"Petition challenging arbitrary internet shutdowns in conflict zones, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Citizens Forum for Transparency v. National Investigation Agency,2015,(2015) 6 SCC 718,"Petition challenging right to be forgotten in the digital age, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
Additional Secretary To The Government ... vs Smt. Alka Subhash Gadia And Anr,1990,(1990) Supreme Court of India,Supreme Court judgment. Query category: article 21 right to life liberty.,True,indiankanoon.org,https://indiankanoon.org/docfragment/1348574/?formInput=article%2021%20right%20to%20life%20liberty%20%20doctypes%3A%20supremecourt
Citizens Forum for Transparency v. State of Delhi,1997,(1997) 2 SCC 770,"Petition challenging reservation in private sector employment, filed under Article 32 of the Constitution.",False,synthetic-researcher-generated,N/A
